id_cliente,antiguedad_cliente,estado_civil,estado_cliente,gastos_ult_12m,genero,limite_credito_tc,nivel_educativo,nivel_tarjeta,operaciones_ult_12m,personas_a_cargo
713061558,36.0,CASADO,ACTIVO,1088.0,M,4010.0,UNIVERSITARIO_COMPLETO,Blue,24,2
768805383,39.0,CASADO,ACTIVO,1144.0,M,12691.0,SECUNDARIO_COMPLETO,Blue,42,3
818770008,44.0,SOLTERO,ACTIVO,1291.0,F,8256.0,UNIVERSITARIO_COMPLETO,Blue,33,5
713982108,36.0,CASADO,ACTIVO,1887.0,M,3418.0,UNIVERSITARIO_COMPLETO,Blue,20,3
710821833,54.0,CASADO,ACTIVO,1314.0,M,9095.0,DESCONOCIDO,Blue,26,1
769911858,34.0,DESCONOCIDO,ACTIVO,1171.0,F,3313.0,SECUNDARIO_COMPLETO,Blue,20,4
709106358,21.0,CASADO,ACTIVO,816.0,M,4716.0,UNIVERSITARIO_INCOMPLETO,Blue,28,3
810347208,46.0,CASADO,ACTIVO,1330.0,M,34516.0,DESCONOCIDO,Gold,31,4
818906208,27.0,DESCONOCIDO,ACTIVO,1538.0,M,29081.0,SECUNDARIO_COMPLETO,Silver,36,0
710930508,36.0,SOLTERO,ACTIVO,1350.0,M,22352.0,UNIVERSITARIO_INCOMPLETO,Blue,24,3
719661558,36.0,SOLTERO,ACTIVO,1441.0,M,11656.0,UNIVERSITARIO_COMPLETO,Blue,32,2
708790833,31.0,DESCONOCIDO,ACTIVO,1201.0,M,6748.0,UNIVERSITARIO_INCOMPLETO,Blue,42,5
710599683,36.0,SOLTERO,ACTIVO,1539.0,M,11751.0,UNIVERSITARIO_INCOMPLETO,Blue,17,1
816082233,30.0,DESCONOCIDO,ACTIVO,1311.0,M,8547.0,UNIVERSITARIO_COMPLETO,Blue,33,3
712396908,48.0,CASADO,ACTIVO,1570.0,F,2436.0,UNIVERSITARIO_COMPLETO,Blue,29,2
714885258,37.0,DESCONOCIDO,ACTIVO,1348.0,M,4234.0,DESCONOCIDO,Blue,27,4
709967358,36.0,SOLTERO,ACTIVO,1671.0,M,30367.0,POSGRADO_INCOMPLETO,Blue,27,4
753327333,34.0,CASADO,ACTIVO,1028.0,M,13535.0,DESCONOCIDO,Blue,21,3
806160108,56.0,CASADO,ACTIVO,1336.0,M,3193.0,SECUNDARIO_COMPLETO,Blue,30,1
709327383,37.0,CASADO,ACTIVO,1207.0,F,14470.0,UNIVERSITARIO_COMPLETO,Blue,21,2
806165208,42.0,DIVORCIADO,ACTIVO,1178.0,M,20979.0,POSGRADO_COMPLETO,Blue,27,1
708508758,49.0,CASADO,PASIVO,692.0,F,1438.3,UNIVERSITARIO_COMPLETO,Blue,16,0
784725333,33.0,CASADO,ACTIVO,931.0,M,4470.0,SECUNDARIO_COMPLETO,Blue,18,3
811604133,36.0,SOLTERO,ACTIVO,1126.0,F,2492.0,DESCONOCIDO,Blue,23,4
789124683,42.0,CASADO,ACTIVO,1110.0,M,12217.0,DESCONOCIDO,Blue,21,2
771071958,28.0,SOLTERO,ACTIVO,1051.0,F,7768.0,UNIVERSITARIO_COMPLETO,Blue,22,3
788658483,38.0,CASADO,ACTIVO,1411.0,F,2650.0,UNIVERSITARIO_INCOMPLETO,Blue,28,2
720466383,46.0,DESCONOCIDO,ACTIVO,1197.0,M,14784.0,SECUNDARIO_COMPLETO,Blue,23,1
804424383,56.0,CASADO,ACTIVO,1904.0,M,10215.0,DESCONOCIDO,Blue,40,1
715318008,36.0,SOLTERO,ACTIVO,1407.0,F,3520.0,UNIVERSITARIO_INCOMPLETO,Blue,43,1
